do you have a twa flight leaving early in the morning to san francisco from denver	do you have a twa flight leaving early in the morning to san francisco from denver	[IN:FLIGHT do you have a [SL:AIRLINE_CODE twa ] flight leaving [SL:DEPART_TIME [SL:PERIOD_MOD early ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] ]
flights from new york to miami	flights from new york to miami	[IN:FLIGHT flights from [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME miami ] ] ]
what is the name of the airport at denver	what is the name of the airport at denver	[IN:AIRPORT what is the name of the airport at [SL:CITY_NAME denver ] ]
i want to find a flight from boston to atlanta	i want to find a flight from boston to atlanta	[IN:FLIGHT i want to find a flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
yes i need a flight from denver to pittsburgh on july seventh	yes i need a flight from denver to pittsburgh on july seventh	[IN:FLIGHT yes i need a flight from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] on [SL:DEPART_DATE [SL:MONTH_NAME july ] ] [SL:DEPART_DATE [SL:DAY_NUMBER seventh ] ] ]
what are the flights from orlando to cleveland on us air that arrive around 10 pm	what are the flights from orlando to cleveland on us air that arrive around 10 pm	[IN:FLIGHT what are the flights from [SL:FROM_LOCATION [SL:CITY_NAME orlando ] ] to [SL:TO_LOCATION [SL:CITY_NAME cleveland ] ] on [SL:AIRLINE_NAME us air ] that arrive [SL:ARRIVE_TIME [SL:TIME_RELATIVE around ] ] [SL:ARRIVE_TIME [SL:TIME 10 pm ] ] ]
what flights are there from pittsburgh to san francisco on friday	what flights are there from pittsburgh to san francisco on friday	[IN:FLIGHT what flights are there from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] on [SL:DEPART_DATE [SL:DAY_NAME friday ] ] ]
"in economy class from dallas to baltimore arriving july seventh i""d like to know what""s the cheapest ticket possible"	"in economy class from dallas to baltimore arriving july seventh i""d like to know what""s the cheapest ticket possible"	[IN:AIRFARE in [SL:ECONOMY economy class ] from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] arriving [SL:ARRIVE_DATE [SL:MONTH_NAME july ] ] [SL:ARRIVE_DATE [SL:DAY_NUMBER seventh ] ] i'd like to know what's the [SL:COST_RELATIVE cheapest ] ticket possible ]
can i rent a car in san jose too	can i rent a car in san jose too	[IN:GROUND_SERVICE can i rent a [SL:TRANSPORT_TYPE car ] in [SL:CITY_NAME san jose ] too ]
give me a flight from newark to tampa on friday	give me a flight from newark to tampa on friday	[IN:FLIGHT give me a flight from [SL:FROM_LOCATION [SL:CITY_NAME newark ] ] to [SL:TO_LOCATION [SL:CITY_NAME tampa ] ] on [SL:DEPART_DATE [SL:DAY_NAME friday ] ] ]
i am looking for the cheapest fare from indianapolis to orlando on december twenty seventh	i am looking for the cheapest fare from indianapolis to orlando on december twenty seventh	[IN:AIRFARE i am looking for the [SL:COST_RELATIVE cheapest ] fare from [SL:FROM_LOCATION [SL:CITY_NAME indianapolis ] ] to [SL:TO_LOCATION [SL:CITY_NAME orlando ] ] on [SL:DEPART_DATE [SL:MONTH_NAME december ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twenty seventh ] ] ]
list all flights please from washington to san francisco	list all flights please from washington to san francisco	[IN:FLIGHT list all flights please from [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
cheapest fare from indianapolis to seattle	cheapest fare from indianapolis to seattle	[IN:AIRFARE [SL:COST_RELATIVE cheapest ] fare from [SL:FROM_LOCATION [SL:CITY_NAME indianapolis ] ] to [SL:TO_LOCATION [SL:CITY_NAME seattle ] ] ]
what is the earliest flight from tampa to milwaukee tomorrow	what is the earliest flight from tampa to milwaukee tomorrow	[IN:FLIGHT what is the [SL:FLIGHT_MOD earliest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME tampa ] ] to [SL:TO_LOCATION [SL:CITY_NAME milwaukee ] ] [SL:DEPART_DATE [SL:TODAY_RELATIVE tomorrow ] ] ]
i want to fly from baltimore to philadelphia	i want to fly from baltimore to philadelphia	[IN:FLIGHT i want to fly from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
show me flights from milwaukee to orlando on thursday morning	show me flights from milwaukee to orlando on thursday morning	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME milwaukee ] ] to [SL:TO_LOCATION [SL:CITY_NAME orlando ] ] on [SL:DEPART_DATE [SL:DAY_NAME thursday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] ]
i need to go from boston to denver and then to san francisco	i need to go from boston to denver and then to san francisco	[IN:FLIGHT i need to go from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] and then to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
please give me a flight from pittsburgh to san francisco monday	please give me a flight from pittsburgh to san francisco monday	[IN:FLIGHT please give me a flight from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] [SL:DEPART_DATE [SL:DAY_NAME monday ] ] ]
what flights leave philadelphia for dallas and depart before noon on american airlines	what flights leave philadelphia for dallas and depart before noon on american airlines	[IN:FLIGHT what flights leave [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] for [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] and depart [SL:DEPART_TIME [SL:TIME_RELATIVE before ] ] [SL:DEPART_TIME [SL:TIME noon ] ] on [SL:AIRLINE_NAME american airlines ] ]
show me flights from atlanta to washington dc on wednesday evening	show me flights from atlanta to washington dc on wednesday evening	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] [SL:TO_LOCATION [SL:STATE_CODE dc ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] ]
i would like a schedule of flights from san francisco to boston on wednesday	i would like a schedule of flights from san francisco to boston on wednesday	[IN:FLIGHT_TIME i would like a [SL:FLIGHT_TIME schedule ] of flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] ]
show me all the flights from columbus to baltimore	show me all the flights from columbus to baltimore	[IN:FLIGHT show me all the flights from [SL:FROM_LOCATION [SL:CITY_NAME columbus ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
please list the flights from pittsburgh to baltimore arriving may seventh	please list the flights from pittsburgh to baltimore arriving may seventh	[IN:FLIGHT please list the flights from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] arriving [SL:ARRIVE_DATE [SL:MONTH_NAME may ] ] [SL:ARRIVE_DATE [SL:DAY_NUMBER seventh ] ] ]
could you please tell me the cheapest fare from atlanta to boston	could you please tell me the cheapest fare from atlanta to boston	[IN:AIRFARE could you please tell me the [SL:COST_RELATIVE cheapest ] fare from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
show me ground transportation in san francisco	show me ground transportation in san francisco	[IN:GROUND_SERVICE show me ground transportation in [SL:CITY_NAME san francisco ] ]
i would like a flight from philadelphia to dallas	i would like a flight from philadelphia to dallas	[IN:FLIGHT i would like a flight from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
"on april twenty would like to fly from denver to pittsburgh at about 8 o""clock in the morning"	"on april twenty would like to fly from denver to pittsburgh at about 8 o""clock in the morning"	[IN:FLIGHT on [SL:DEPART_DATE [SL:MONTH_NAME april ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twenty ] ] would like to fly from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] at [SL:DEPART_TIME [SL:TIME_RELATIVE about ] ] [SL:DEPART_TIME [SL:TIME 8 o'clock ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] ]
i need information for a flight from denver to atlanta	i need information for a flight from denver to atlanta	[IN:FLIGHT i need information for a flight from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
which is the flight number for the us air flight from philadelphia to boston is it 279 or is it 137338	which is the flight number for the us air flight from philadelphia to boston is it 279 or is it 137338	[IN:FLIGHT_NO which is the flight number for the [SL:AIRLINE_NAME us air ] flight from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] is it [SL:FLIGHT_NUMBER 279 ] [SL:OR or ] is it [SL:FLIGHT_NUMBER 137338 ] ]
please show me airlines with flights from philadelphia to dallas	please show me airlines with flights from philadelphia to dallas	[IN:AIRLINE please show me airlines with flights from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
from denver to washington dc on monday november eleventh 1991	from denver to washington dc on monday november eleventh 1991	[IN:FLIGHT from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] [SL:TO_LOCATION [SL:STATE_CODE dc ] ] on [SL:DEPART_DATE [SL:DAY_NAME monday ] ] [SL:DEPART_DATE [SL:MONTH_NAME november ] ] [SL:DEPART_DATE [SL:DAY_NUMBER eleventh ] ] [SL:DEPART_DATE [SL:YEAR 1991 ] ] ]
list all flights from denver to san francisco on wednesday afternoon	list all flights from denver to san francisco on wednesday afternoon	[IN:FLIGHT list all flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] ]
what flights leave washington dc and arrive in san francisco on wednesday	what flights leave washington dc and arrive in san francisco on wednesday	[IN:FLIGHT what flights leave [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] [SL:FROM_LOCATION [SL:STATE_CODE dc ] ] and arrive in [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] on [SL:ARRIVE_DATE [SL:DAY_NAME wednesday ] ] ]
show me flights from philadelphia to oakland on friday	show me flights from philadelphia to oakland on friday	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME oakland ] ] on [SL:DEPART_DATE [SL:DAY_NAME friday ] ] ]
find a transcontinental flight on american airlines from boston to san francisco that makes a stopover in denver	find a transcontinental flight on american airlines from boston to san francisco that makes a stopover in denver	[IN:FLIGHT find a transcontinental flight on [SL:AIRLINE_NAME american airlines ] from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] that makes a stopover in [SL:STOP_LOCATION [SL:CITY_NAME denver ] ] ]
i would like to see the daily flights from baltimore to philadelphia	i would like to see the daily flights from baltimore to philadelphia	[IN:FLIGHT i would like to see the [SL:FLIGHT_DAYS daily ] flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
what kinds of planes are used by american airlines	what kinds of planes are used by american airlines	[IN:AIRCRAFT what kinds of planes are used by [SL:AIRLINE_NAME american airlines ] ]
show me fares from miami to new york	show me fares from miami to new york	[IN:AIRFARE show me fares from [SL:FROM_LOCATION [SL:CITY_NAME miami ] ] to [SL:TO_LOCATION [SL:CITY_NAME new york ] ] ]
"i""d like to see flights from pittsburgh to philadelphia"	"i""d like to see flights from pittsburgh to philadelphia"	[IN:FLIGHT i'd like to see flights from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
what ground transportation is available from the pittsburgh airport	what ground transportation is available from the pittsburgh airport	[IN:GROUND_SERVICE what ground transportation is available from the [SL:FROM_LOCATION [SL:AIRPORT_NAME pittsburgh airport ] ] ]
i want to go from san francisco to denver	i want to go from san francisco to denver	[IN:FLIGHT i want to go from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
"okay i""d like a flight from boston to san francisco that leaves before 8 am"	"okay i""d like a flight from boston to san francisco that leaves before 8 am"	[IN:FLIGHT okay i'd like a flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] that leaves [SL:DEPART_TIME [SL:TIME_RELATIVE before ] ] [SL:DEPART_TIME [SL:TIME 8 am ] ] ]
"what""s the cheapest fare for a round trip from indianapolis to orlando on december twenty seventh"	"what""s the cheapest fare for a round trip from indianapolis to orlando on december twenty seventh"	[IN:AIRFARE what's the [SL:COST_RELATIVE cheapest ] fare for a [SL:ROUND_TRIP round trip ] from [SL:FROM_LOCATION [SL:CITY_NAME indianapolis ] ] to [SL:TO_LOCATION [SL:CITY_NAME orlando ] ] on [SL:DEPART_DATE [SL:MONTH_NAME december ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twenty seventh ] ] ]
what flights go from denver to san francisco	what flights go from denver to san francisco	[IN:FLIGHT what flights go from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
what ground transportation is available in atlanta	what ground transportation is available in atlanta	[IN:GROUND_SERVICE what ground transportation is available in [SL:CITY_NAME atlanta ] ]
can you show me one way economy fares from dallas to atlanta	can you show me one way economy fares from dallas to atlanta	[IN:AIRFARE can you show me [SL:ROUND_TRIP one way ] [SL:ECONOMY economy ] fares from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
show me the cities served by canadian airlines international	show me the cities served by canadian airlines international	[IN:CITY show me the cities served by [SL:AIRLINE_NAME canadian airlines international ] ]
"i""d like a flight leaving atlanta august seventh and arriving in denver colorado august seventh leaving in the afternoon"	"i""d like a flight leaving atlanta august seventh and arriving in denver colorado august seventh leaving in the afternoon"	[IN:FLIGHT i'd like a flight leaving [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER seventh ] ] and arriving in [SL:TO_LOCATION [SL:CITY_NAME denver ] ] [SL:TO_LOCATION [SL:STATE_NAME colorado ] ] [SL:ARRIVE_DATE [SL:MONTH_NAME august ] ] [SL:ARRIVE_DATE [SL:DAY_NUMBER seventh ] ] leaving in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] ]
price of flight from nashville to cleveland	price of flight from nashville to cleveland	[IN:AIRFARE price of flight from [SL:FROM_LOCATION [SL:CITY_NAME nashville ] ] to [SL:TO_LOCATION [SL:CITY_NAME cleveland ] ] ]
what is the least expensive business class flight between boston and san francisco	what is the least expensive business class flight between boston and san francisco	[IN:FLIGHT what is the [SL:COST_RELATIVE least expensive ] [SL:CLASS_TYPE business class ] flight between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
which are the least expensive flights between dallas and baltimore on july nineteenth	which are the least expensive flights between dallas and baltimore on july nineteenth	[IN:FLIGHT which are the [SL:COST_RELATIVE least expensive ] flights between [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] and [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] on [SL:DEPART_DATE [SL:MONTH_NAME july ] ] [SL:DEPART_DATE [SL:DAY_NUMBER nineteenth ] ] ]
list all round trip flights from orlando to kansas city	list all round trip flights from orlando to kansas city	[IN:FLIGHT list all [SL:ROUND_TRIP round trip ] flights from [SL:FROM_LOCATION [SL:CITY_NAME orlando ] ] to [SL:TO_LOCATION [SL:CITY_NAME kansas city ] ] ]
list daily flights from denver to boston	list daily flights from denver to boston	[IN:FLIGHT list [SL:FLIGHT_DAYS daily ] flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
i would like a list of flights from pittsburgh to dallas	i would like a list of flights from pittsburgh to dallas	[IN:FLIGHT i would like a list of flights from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
show me the flights from boston to pittsburgh	show me the flights from boston to pittsburgh	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
what does y mean	what does y mean	[IN:ABBREVIATION what does [SL:FARE_BASIS_CODE y ] mean ]
i need a return flight from denver to atlanta	i need a return flight from denver to atlanta	[IN:FLIGHT i need a return flight from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
list all us air flights from miami to cleveland leaving on sunday afternoon	list all us air flights from miami to cleveland leaving on sunday afternoon	[IN:FLIGHT list all [SL:AIRLINE_NAME us air ] flights from [SL:FROM_LOCATION [SL:CITY_NAME miami ] ] to [SL:TO_LOCATION [SL:CITY_NAME cleveland ] ] leaving on [SL:DEPART_DATE [SL:DAY_NAME sunday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] ]
